Team,Player,Time,Event,Info,Object
EM,25#蒲知劲,1 - 3 : 6,篮板,后场,
EM,39#陈寅,1 - 3 : 15,3分球出手,不进,
PURDUE,11#Leo,1 - 3 : 15,篮板,后场,
PURDUE,11#Leo,1 - 3 : 36,2分球出手,不进,
EM,25#蒲知劲,1 - 3 : 36,篮板,后场,
EM,39#陈寅,1 - 3 : 42,助攻,2分,7#金晓伟
PURDUE,黑衣粉鞋哥,1 - 5 : 0,换人,,橙短裤哥
EM,10#余国璞,1 - 5 : 7,抢断,,32#Tony
EM,10#余国璞,1 - 5 : 25,助攻,2分,25#蒲知劲
PURDUE,0#Rio,1 - 5 : 47,2分球出手,进球,
EM,25#蒲知劲,1 - 6 : 11,2分球出手,不进,
EM,34#王伟,1 - 6 : 11,篮板,前场,
EM,34#王伟,1 - 6 : 12,2分球出手,不进,
PURDUE,11#Leo,1 - 6 : 13,篮板,后场,
EM,25#蒲知劲,1 - 6 : 20,抢断,,11#Leo
EM,25#蒲知劲,1 - 6 : 25,2分球出手,进球,
EM,7#金晓伟,1 - 7 : 51,换人,,13#孙琦
EM,34#王伟,1 - 7 : 51,换人,,21#花文俊
EM,25#蒲知劲,1 - 7 : 51,换人,,26#高扬
EM,10#余国璞,1 - 7 : 51,换人,,18#施君逸
PURDUE,11#Leo,1 - 7 : 51,3分球出手,不进,
EM,21#花文俊,1 - 7 : 51,篮板,后场,
EM,13#孙琦,1 - 8 : 10,助攻,3分,39#陈寅
PURDUE,32#Tony,1 - 8 : 36,3分球出手,不进,
EM,26#高扬,1 - 8 : 36,篮板,后场,
PURDUE,11#Leo,1 - 8 : 40,犯规,普通犯规未犯满,26#高扬
EM,39#陈寅,1 - 9 : 5,3分球出手,不进,
EM,21#花文俊,1 - 9 : 5,篮板,前场,
EM,18#施君逸,1 - 9 : 13,3分球出手,不进,
PURDUE,1#Terrence,1 - 9 : 13,篮板,后场,
PURDUE,1#Terrence,1 - 9 : 27,2分球出手,不进,
EM,13#孙琦,1 - 9 : 27,篮板,后场,
EM,13#孙琦,1 - 9 : 32,助攻,2分,39#陈寅
PURDUE,32#Tony,1 - 9 : 43,2分球出手,进球,
EM,39#陈寅,1 - 10 : 26,3分球出手,不进,
EM,18#施君逸,1 - 10 : 26,篮板,前场,
EM,18#施君逸,1 - 10 : 29,2分球出手,进球,
PURDUE,1#Terrence,1 - 10 : 48,失误,违例,
EM,39#陈寅,1 - 11 : 11,3分球出手,不进,
PURDUE,11#Leo,1 - 11 : 11,篮板,后场,
EM,39#陈寅,1 - 11 : 14,抢断,,11#Leo
EM,39#陈寅,1 - 11 : 20,失误,出界,
EM,39#陈寅,1 - 11 : 37,换人,,19#傅腾
EM,19#傅腾,1 - 12 : 56,犯规,投篮犯规,11#Leo
PURDUE,11#Leo,1 - 13 : 19,罚球出手,不进,
PURDUE,11#Leo,1 - 13 : 29,罚球出手,不进,
EM,19#傅腾,1 - 13 : 29,篮板,后场,
PURDUE,11#Leo,1 - 13 : 42,抢断,,26#高扬
PURDUE,32#Tony,1 - 13 : 56,3分球出手,不进,
PURDUE,橙短裤哥,1 - 13 : 56,换人,,黑衣粉鞋哥
EM,19#傅腾,1 - 14 : 9,犯规,普通犯规未犯满,32#Tony
PURDUE,1#Terrence,1 - 13 : 55,换人,,黑衣白鞋哥
PURDUE,32#Tony,1 - 14 : 25,2分球出手,不进,
EM,13#孙琦,1 - 14 : 25,篮板,后场,
EM,26#高扬,1 - 14 : 44,失误,出界,
PURDUE,11#Leo,1 - 16 : 48,3分球出手,不进,
EM,18#施君逸,1 - 17 : 10,3分球出手,不进,
PURDUE,黑衣白鞋哥,1 - 17 : 17,换人,,橙短裤哥
PURDUE,黑衣粉鞋哥,1 - 17 : 17,换人,,1#Terrence
PURDUE,0#Rio,1 - 17 : 39,3分球出手,不进,
PURDUE,橙短裤哥,1 - 17 : 39,篮板,前场,
PURDUE,32#Tony,1 - 17 : 46,3分球出手,不进,
EM,25#蒲知劲,1 - 17 : 46,篮板,后场,
EM,26#高扬,1 - 18 : 33,2分球出手,进球,
PURDUE,32#Tony,1 - 18 : 57,3分球出手,不进,
EM,19#傅腾,1 - 18 : 57,篮板,后场,
EM,13#孙琦,1 - 19 : 20,3分球出手,不进,
EM,26#高扬,1 - 19 : 20,篮板,前场,
EM,18#施君逸,1 - 19 : 25,2分球出手,进球,
EM,19#傅腾,1 - 19 : 47,犯规,普通犯规未犯满,1#Terrence
PURDUE,橙短裤哥,1 - 19 : 56,2分球出手,不进,
PURDUE,1#Terrence,1 - 19 : 56,篮板,前场,
EM,13#孙琦,1 - 19 : 59,抢断,,1#Terrence
EM,18#施君逸,1 - 20 : 12,3分球出手,不进,
EM,26#高扬,1 - 20 : 13,篮板,前场,
PURDUE,1#Terrence,1 - 20 : 13,抢断,,26#高扬
PURDUE,1#Terrence,1 - 20 : 19,助攻,2分,32#Tony
PURDUE,11#Leo,1 - 20 : 27,换人,,黑衣粉鞋哥
EM,18#施君逸,1 - 20 : 48,2分球出手,进球,
EM,21#花文俊,1 - 21 : 32,犯规,投篮犯规,橙短裤哥
PURDUE,橙短裤哥,1 - 21 : 32,2分球出手,进球,
PURDUE,1#Terrence,1 - 21 : 50,换人,,11#Leo
PURDUE,黑衣粉鞋哥,1 - 21 : 56,换人,,黑衣白鞋哥
PURDUE,橙短裤哥,1 - 21 : 58,罚球出手,进球,
EM,21#花文俊,1 - 21 : 58,篮板,后场,
EM,18#施君逸,1 - 22 : 10,3分球出手,不进,
EM,18#施君逸,1 - 22 : 10,篮板,前场,
EM,21#花文俊,1 - 22 : 15,2分球出手,不进,
PURDUE,黑衣白鞋哥,1 - 22 : 15,篮板,后场,
EM,13#孙琦,1 - 22 : 29,抢断,,11#Leo
EM,13#孙琦,1 - 22 : 43,助攻,2分,26#高扬
PURDUE,32#Tony,1 - 22 : 58,2分球出手,不进,
EM,19#傅腾,1 - 22 : 58,篮板,后场,
EM,26#高扬,1 - 23 : 6,2分球出手,不进,
EM,13#孙琦,2 - 0 : 0,换人,,10#余国璞
EM,26#高扬,2 - 0 : 0,换人,,34#王伟
EM,21#花文俊,2 - 0 : 0,换人,,25#蒲知劲
EM,18#施君逸,2 - 0 : 0,换人,,7#金晓伟
PURDUE,黑衣白鞋哥,2 - 0 : 0,换人,,1#Terrence
PURDUE,11#Leo,2 - 0 : 6,3分球出手,不进,
PURDUE,32#Tony,2 - 0 : 6,篮板,前场,
PURDUE,32#Tony,2 - 0 : 6,2分球出手,进球,
EM,34#王伟,2 - 0 : 54,助攻,2分,25#蒲知劲
PURDUE,0#Rio,2 - 1 : 23,助攻,2分,32#Tony
EM,25#蒲知劲,2 - 1 : 40,2分球出手,不进,
PURDUE,0#Rio,2 - 1 : 40,篮板,后场,
PURDUE,0#Rio,2 - 1 : 48,助攻,3分,11#Leo
EM,19#傅腾,2 - 2 : 17,2分球出手,不进,
PURDUE,11#Leo,2 - 2 : 17,篮板,后场,
EM,34#王伟,2 - 2 : 33,犯规,投篮犯规,11#Leo
PURDUE,11#Leo,2 - 2 : 58,罚球出手,不进,
PURDUE,11#Leo,2 - 2 : 57,罚球出手,不进,
PURDUE,1#Terrence,2 - 2 : 58,篮板,前场,
PURDUE,11#Leo,2 - 3 : 3,2分球出手,不进,
EM,25#蒲知劲,2 - 3 : 3,篮板,后场,
EM,34#王伟,2 - 3 : 17,助攻,2分,10#余国璞
PURDUE,32#Tony,2 - 3 : 30,助攻,3分,11#Leo
PURDUE,1#Terrence,2 - 4 : 5,换人,,黑衣粉鞋哥
EM,25#蒲知劲,2 - 4 : 18,助攻,3分,10#余国璞
EM,25#蒲知劲,2 - 4 : 46,盖帽,2分,橙短裤哥
PURDUE,11#Leo,2 - 5 : 27,助攻,2分,0#Rio
EM,25#蒲知劲,2 - 5 : 45,2分球出手,不进,
EM,34#王伟,2 - 5 : 45,篮板,前场,
EM,34#王伟,2 - 5 : 47,助攻,3分,19#傅腾
PURDUE,11#Leo,2 - 6 : 4,3分球出手,不进,
EM,19#傅腾,2 - 6 : 22,换人,,39#陈寅
EM,39#陈寅,2 - 6 : 35,助攻,2分,25#蒲知劲
PURDUE,0#Rio,2 - 6 : 58,3分球出手,不进,
EM,10#余国璞,2 - 6 : 58,篮板,后场,
EM,10#余国璞,2 - 7 : 4,助攻,2分,34#王伟
PURDUE,32#Tony,2 - 7 : 16,2分球出手,不进,
EM,25#蒲知劲,2 - 7 : 16,篮板,后场,
EM,10#余国璞,2 - 7 : 36,助攻,2分,7#金晓伟
PURDUE,橙短裤哥,2 - 7 : 55,换人,,黑衣白鞋哥
PURDUE,11#Leo,2 - 8 : 3,3分球出手,不进,
EM,25#蒲知劲,2 - 8 : 3,篮板,后场,
EM,10#余国璞,2 - 8 : 8,失误,违例,
PURDUE,32#Tony,2 - 8 : 33,2分球出手,不进,
EM,7#金晓伟,2 - 8 : 33,篮板,后场,
EM,10#余国璞,2 - 8 : 46,助攻,2分,34#王伟
PURDUE,11#Leo,2 - 9 : 5,2分球出手,不进,
EM,10#余国璞,2 - 9 : 5,篮板,后场,
EM,10#余国璞,2 - 9 : 8,助攻,2分,25#蒲知劲
EM,39#陈寅,2 - 9 : 51,犯规,投篮犯规,32#Tony
PURDUE,32#Tony,2 - 10 : 9,罚球出手,不进,
PURDUE,32#Tony,2 - 10 : 11,罚球出手,进球,
EM,10#余国璞,2 - 10 : 33,换人,,13#孙琦
EM,34#王伟,2 - 10 : 33,换人,,21#花文俊
EM,7#金晓伟,2 - 10 : 33,换人,,18#施君逸
EM,25#蒲知劲,2 - 10 : 35,换人,,26#高扬
PURDUE,32#Tony,2 - 10 : 52,换人,,1#Terrence
PURDUE,0#Rio,2 - 10 : 52,换人,,橙短裤哥
EM,18#施君逸,2 - 10 : 56,3分球出手,不进,
PURDUE,11#Leo,2 - 10 : 56,篮板,后场,
PURDUE,黑衣粉鞋哥,2 - 11 : 8,失误,出界,
EM,26#高扬,2 - 11 : 27,2分球出手,进球,
EM,21#花文俊,2 - 11 : 59,犯规,投篮犯规,11#Leo
PURDUE,11#Leo,2 - 11 : 56,罚球出手,不进,
PURDUE,11#Leo,2 - 11 : 58,罚球出手,不进,
EM,21#花文俊,2 - 12 : 10,篮板,后场,
EM,39#陈寅,2 - 12 : 12,3分球出手,不进,
EM,18#施君逸,2 - 12 : 21,篮板,前场,
EM,26#高扬,2 - 12 : 27,2分球出手,不进,
PURDUE,11#Leo,2 - 12 : 27,篮板,后场,
PURDUE,黑衣白鞋哥,2 - 12 : 41,2分球出手,不进,
EM,39#陈寅,2 - 12 : 43,篮板,后场,
EM,18#施君逸,2 - 12 : 47,2分球出手,不进,
PURDUE,橙短裤哥,2 - 12 : 47,篮板,后场,
PURDUE,11#Leo,2 - 13 : 1,3分球出手,不进,
EM,18#施君逸,2 - 13 : 1,篮板,后场,
EM,26#高扬,2 - 13 : 29,2分球出手,不进,
PURDUE,11#Leo,2 - 13 : 29,篮板,后场,
EM,39#陈寅,2 - 13 : 33,抢断,,橙短裤哥
EM,39#陈寅,2 - 13 : 35,2分球出手,不进,
EM,13#孙琦,2 - 13 : 35,篮板,前场,
EM,13#孙琦,2 - 13 : 35,2分球出手,进球,
PURDUE,黑衣粉鞋哥,2 - 15 : 29,换人,,32#Tony
PURDUE,黑衣白鞋哥,2 - 15 : 29,换人,,0#Rio
PURDUE,32#Tony,2 - 15 : 35,2分球出手,不进,
EM,13#孙琦,2 - 15 : 35,篮板,后场,
EM,21#花文俊,2 - 16 : 12,2分球出手,不进,
EM,26#高扬,2 - 16 : 12,篮板,前场,
EM,21#花文俊,2 - 17 : 19,2分球出手,不进,
EM,26#高扬,2 - 17 : 19,篮板,前场,
EM,18#施君逸,2 - 17 : 23,3分球出手,不进,
EM,39#陈寅,2 - 17 : 23,篮板,前场,
EM,21#花文俊,2 - 17 : 43,助攻,2分,39#陈寅
PURDUE,32#Tony,2 - 17 : 59,助攻,2分,11#Leo
EM,18#施君逸,2 - 18 : 19,2分球出手,不进,
PURDUE,11#Leo,2 - 18 : 19,篮板,后场,
EM,18#施君逸,2 - 19 : 9,犯规,投篮犯规,32#Tony
PURDUE,32#Tony,2 - 19 : 9,罚球出手,进球,
PURDUE,32#Tony,2 - 19 : 12,罚球出手,不进,
EM,18#施君逸,2 - 19 : 16,篮板,后场,
EM,39#陈寅,2 - 19 : 22,2分球出手,不进,
PURDUE,1#Terrence,2 - 19 : 22,篮板,后场,
PURDUE,0#Rio,2 - 19 : 33,2分球出手,不进,
PURDUE,0#Rio,2 - 19 : 33,篮板,前场,
EM,39#陈寅,2 - 19 : 36,盖帽,2分,0#Rio
EM,39#陈寅,2 - 19 : 51,犯规,普通犯规未犯满,32#Tony
EM,26#高扬,2 - 20 : 12,犯规,投篮犯规,11#Leo
PURDUE,11#Leo,2 - 20 : 4,2分球出手,进球,
PURDUE,11#Leo,2 - 20 : 20,罚球出手,不进,
EM,18#施君逸,2 - 20 : 27,篮板,后场,
EM,13#孙琦,2 - 20 : 32,助攻,2分,18#施君逸
PURDUE,1#Terrence,2 - 20 : 56,失误,违例,
EM,26#高扬,2 - 21 : 21,助攻,2分,21#花文俊
EM,26#高扬,2 - 21 : 38,盖帽,2分,11#Leo
EM,21#花文俊,2 - 21 : 38,篮板,后场,
EM,39#陈寅,2 - 21 : 44,2分球出手,不进,
EM,26#高扬,2 - 21 : 44,篮板,前场,
EM,13#孙琦,3 - 0 : 0,换人,,10#余国璞
EM,39#陈寅,3 - 0 : 0,换人,,7#金晓伟
EM,18#施君逸,3 - 0 : 0,换人,,19#傅腾
EM,26#高扬,3 - 0 : 0,换人,,34#王伟
EM,21#花文俊,3 - 0 : 0,换人,,25#蒲知劲
PURDUE,橙短裤哥,3 - 0 : 4,换人,,黑衣粉鞋哥
PURDUE,11#Leo,3 - 0 : 15,2分球出手,不进,
EM,25#蒲知劲,3 - 0 : 15,篮板,后场,
PURDUE,1#Terrence,3 - 0 : 33,抢断,,25#蒲知劲
PURDUE,1#Terrence,3 - 0 : 35,2分球出手,不进,
EM,25#蒲知劲,3 - 0 : 35,篮板,后场,
EM,25#蒲知劲,3 - 0 : 41,2分球出手,进球,
PURDUE,11#Leo,3 - 1 : 4,3分球出手,不进,
PURDUE,11#Leo,3 - 1 : 5,抢断,,10#余国璞
PURDUE,11#Leo,3 - 1 : 21,2分球出手,不进,
EM,34#王伟,3 - 1 : 21,篮板,后场,
EM,19#傅腾,3 - 1 : 36,3分球出手,不进,
EM,7#金晓伟,3 - 1 : 38,篮板,前场,
EM,25#蒲知劲,3 - 2 : 11,助攻,3分,19#傅腾
PURDUE,0#Rio,3 - 2 : 23,助攻,3分,11#Leo
PURDUE,0#Rio,3 - 2 : 38,抢断,,34#王伟
PURDUE,0#Rio,3 - 2 : 49,2分球出手,进球,
PURDUE,黑衣粉鞋哥,3 - 3 : 24,抢断,,19#傅腾
PURDUE,11#Leo,3 - 3 : 46,2分球出手,进球,
EM,25#蒲知劲,3 - 4 : 10,2分球出手,不进,
EM,10#余国璞,3 - 4 : 28,抢断,,1#Terrence
PURDUE,0#Rio,3 - 4 : 32,抢断,,10#余国璞
PURDUE,11#Leo,3 - 4 : 40,3分球出手,不进,
EM,19#傅腾,3 - 4 : 40,篮板,后场,
EM,7#金晓伟,3 - 4 : 54,2分球出手,不进,
PURDUE,0#Rio,3 - 4 : 54,篮板,后场,
PURDUE,11#Leo,3 - 5 : 13,3分球出手,不进,
EM,10#余国璞,3 - 5 : 13,篮板,后场,
EM,25#蒲知劲,3 - 5 : 30,助攻,2分,34#王伟
EM,19#傅腾,3 - 5 : 39,抢断,,32#Tony
EM,10#余国璞,3 - 5 : 52,助攻,2分,7#金晓伟
EM,25#蒲知劲,3 - 5 : 54,抢断,,32#Tony
EM,25#蒲知劲,3 - 6 : 3,2分球出手,进球,
PURDUE,11#Leo,3 - 6 : 20,助攻,3分,0#Rio
EM,19#傅腾,3 - 6 : 33,3分球出手,不进,
PURDUE,0#Rio,3 - 6 : 33,篮板,后场,
PURDUE,黑衣粉鞋哥,3 - 6 : 47,换人,,黑衣白鞋哥
PURDUE,0#Rio,3 - 6 : 52,3分球出手,不进,
EM,7#金晓伟,3 - 6 : 52,篮板,后场,
EM,34#王伟,3 - 7 : 4,助攻,2分,25#蒲知劲
EM,10#余国璞,3 - 7 : 13,抢断,,32#Tony
EM,10#余国璞,3 - 7 : 20,助攻,2分,25#蒲知劲
PURDUE,0#Rio,3 - 9 : 23,换人,,陈晨侠
PURDUE,黑衣白鞋哥,3 - 9 : 23,换人,,黑衣粉鞋哥
EM,10#余国璞,3 - 9 : 25,换人,,13#孙琦
EM,7#金晓伟,3 - 9 : 30,换人,,18#施君逸
EM,34#王伟,3 - 9 : 30,换人,,26#高扬
EM,25#蒲知劲,3 - 9 : 30,换人,,21#花文俊
PURDUE,1#Terrence,3 - 9 : 42,换人,,黑衣白鞋哥
PURDUE,陈晨侠,3 - 9 : 49,3分球出手,不进,
EM,39#陈寅,3 - 10 : 4,3分球出手,不进,
EM,26#高扬,3 - 10 : 4,篮板,前场,
EM,18#施君逸,3 - 10 : 11,3分球出手,不进,
EM,26#高扬,3 - 10 : 11,篮板,前场,
PURDUE,11#Leo,3 - 10 : 34,抢断,,39#陈寅
EM,18#施君逸,3 - 10 : 41,抢断,,陈晨侠
EM,26#高扬,3 - 10 : 47,2分球出手,不进,
PURDUE,11#Leo,3 - 10 : 47,篮板,后场,
EM,18#施君逸,3 - 11 : 4,犯规,投篮犯规,11#Leo
PURDUE,11#Leo,3 - 11 : 6,2分球出手,进球,
PURDUE,11#Leo,3 - 11 : 12,罚球出手,不进,
PURDUE,11#Leo,3 - 11 : 12,篮板,前场,
PURDUE,黑衣白鞋哥,3 - 11 : 18,2分球出手,不进,
EM,26#高扬,3 - 11 : 18,篮板,后场,
EM,18#施君逸,3 - 11 : 46,2分球出手,不进,
PURDUE,黑衣粉鞋哥,3 - 11 : 46,篮板,后场,
PURDUE,11#Leo,3 - 12 : 4,3分球出手,不进,
EM,13#孙琦,3 - 12 : 4,篮板,后场,
EM,18#施君逸,3 - 12 : 24,3分球出手,不进,
PURDUE,黑衣粉鞋哥,3 - 12 : 36,2分球出手,不进,
EM,18#施君逸,3 - 12 : 36,篮板,后场,
PURDUE,11#Leo,3 - 12 : 53,抢断,,13#孙琦
EM,18#施君逸,3 - 12 : 55,抢断,,11#Leo
EM,26#高扬,3 - 13 : 9,助攻,2分,18#施君逸
PURDUE,黑衣白鞋哥,3 - 14 : 40,换人,,0#Rio
PURDUE,黑衣粉鞋哥,3 - 14 : 40,换人,,1#Terrence
EM,19#傅腾,3 - 14 : 28,换人,,39#陈寅
PURDUE,11#Leo,3 - 14 : 42,助攻,3分,0#Rio
EM,26#高扬,3 - 15 : 5,助攻,2分,18#施君逸
PURDUE,0#Rio,3 - 15 : 22,3分球出手,不进,
EM,39#陈寅,3 - 15 : 22,篮板,后场,
EM,26#高扬,3 - 15 : 50,助攻,3分,13#孙琦
PURDUE,11#Leo,3 - 16 : 16,2分球出手,进球,
EM,18#施君逸,3 - 16 : 41,2分球出手,不进,
PURDUE,11#Leo,3 - 17 : 2,2分球出手,不进,
PURDUE,陈晨侠,3 - 17 : 5,2分球出手,不进,
PURDUE,11#Leo,3 - 17 : 5,篮板,前场,
PURDUE,11#Leo,3 - 17 : 7,2分球出手,进球,
EM,18#施君逸,3 - 17 : 30,3分球出手,不进,
EM,26#高扬,3 - 17 : 30,篮板,前场,
PURDUE,1#Terrence,3 - 17 : 44,盖帽,2分,13#孙琦
PURDUE,32#Tony,3 - 18 : 14,失误,违例,
PURDUE,1#Terrence,3 - 18 : 13,抢断,,18#施君逸
PURDUE,1#Terrence,3 - 18 : 16,2分球出手,不进,
PURDUE,1#Terrence,3 - 18 : 16,篮板,前场,
PURDUE,32#Tony,3 - 18 : 22,2分球出手,不进,
EM,18#施君逸,3 - 18 : 34,2分球出手,不进,
PURDUE,11#Leo,3 - 18 : 45,篮板,后场,
EM,18#施君逸,3 - 18 : 41,犯规,普通犯规未犯满,32#Tony
EM,13#孙琦,3 - 19 : 12,换人,,10#余国璞
EM,39#陈寅,3 - 19 : 12,换人,,19#傅腾
EM,18#施君逸,3 - 19 : 12,换人,,7#金晓伟
EM,21#花文俊,3 - 19 : 12,换人,,34#王伟
EM,26#高扬,3 - 19 : 12,换人,,25#蒲知劲
PURDUE,32#Tony,3 - 19 : 20,换人,,黑衣白鞋哥
PURDUE,0#Rio,3 - 19 : 39,3分球出手,不进,
EM,25#蒲知劲,3 - 20 : 15,2分球出手,不进,
PURDUE,11#Leo,3 - 20 : 29,3分球出手,不进,
EM,25#蒲知劲,3 - 20 : 29,篮板,后场,
EM,34#王伟,3 - 20 : 37,2分球出手,不进,
PURDUE,0#Rio,3 - 20 : 37,篮板,后场,
EM,7#金晓伟,3 - 20 : 45,抢断,,0#Rio
PURDUE,0#Rio,3 - 20 : 46,抢断,,7#金晓伟
PURDUE,0#Rio,3 - 20 : 55,2分球出手,进球,
EM,34#王伟,3 - 21 : 24,2分球出手,进球,
EM,10#余国璞,3 - 21 : 38,抢断,,11#Leo
EM,25#蒲知劲,3 - 21 : 46,2分球出手,不进,
PURDUE,1#Terrence,3 - 21 : 59,2分球出手,不进,
EM,34#王伟,3 - 21 : 59,篮板,后场,
EM,10#余国璞,3 - 22 : 10,助攻,2分,19#傅腾
PURDUE,11#Leo,3 - 22 : 55,2分球出手,进球,
PURDUE,黑衣白鞋哥,4 - 0 : 6,换人,,黑衣粉鞋哥
PURDUE,陈晨侠,4 - 0 : 4,换人,,32#Tony
PURDUE,32#Tony,4 - 0 : 10,3分球出手,不进,
PURDUE,黑衣粉鞋哥,4 - 0 : 13,篮板,前场,
PURDUE,11#Leo,4 - 0 : 17,3分球出手,不进,
PURDUE,32#Tony,4 - 0 : 17,篮板,前场,
PURDUE,32#Tony,4 - 0 : 28,2分球出手,进球,
PURDUE,1#Terrence,4 - 0 : 47,抢断,,19#傅腾
PURDUE,1#Terrence,4 - 1 : 4,助攻,2分,32#Tony
EM,19#傅腾,4 - 0 : 59,犯规,投篮犯规,32#Tony
PURDUE,32#Tony,4 - 1 : 10,罚球出手,不进,
PURDUE,黑衣粉鞋哥,4 - 1 : 13,篮板,前场,
EM,7#金晓伟,4 - 1 : 31,盖帽,2分,黑衣粉鞋哥
PURDUE,0#Rio,4 - 1 : 42,2分球出手,不进,
EM,10#余国璞,4 - 1 : 47,篮板,后场,
EM,25#蒲知劲,4 - 1 : 48,2分球出手,不进,
PURDUE,32#Tony,4 - 1 : 49,篮板,后场,
PURDUE,黑衣粉鞋哥,4 - 2 : 0,助攻,2分,11#Leo
EM,19#傅腾,4 - 2 : 23,3分球出手,不进,
PURDUE,黑衣粉鞋哥,4 - 2 : 36,2分球出手,不进,
EM,34#王伟,4 - 2 : 37,篮板,后场,
EM,10#余国璞,4 - 2 : 41,失误,出界,
PURDUE,11#Leo,4 - 3 : 2,2分球出手,不进,
EM,25#蒲知劲,4 - 3 : 2,篮板,后场,
EM,25#蒲知劲,4 - 3 : 18,2分球出手,不进,
EM,34#王伟,4 - 3 : 18,篮板,前场,
PURDUE,11#Leo,4 - 3 : 21,盖帽,2分,34#王伟
EM,34#王伟,4 - 3 : 23,篮板,前场,
EM,34#王伟,4 - 3 : 23,2分球出手,进球,
PURDUE,11#Leo,4 - 3 : 40,助攻,2分,0#Rio
EM,25#蒲知劲,4 - 4 : 2,助攻,2分,7#金晓伟
PURDUE,黑衣粉鞋哥,4 - 4 : 26,失误,出界,
EM,10#余国璞,4 - 4 : 36,换人,,13#孙琦
EM,19#傅腾,4 - 4 : 38,换人,,39#陈寅
EM,25#蒲知劲,4 - 4 : 43,助攻,2分,7#金晓伟
PURDUE,32#Tony,4 - 5 : 1,2分球出手,不进,
EM,7#金晓伟,4 - 5 : 1,篮板,后场,
EM,13#孙琦,4 - 5 : 9,助攻,2分,25#蒲知劲
PURDUE,1#Terrence,4 - 5 : 25,2分球出手,不进,
PURDUE,黑衣粉鞋哥,4 - 5 : 25,篮板,前场,
EM,25#蒲知劲,4 - 5 : 27,盖帽,2分,黑衣粉鞋哥
EM,25#蒲知劲,4 - 5 : 27,篮板,前场,
EM,25#蒲知劲,4 - 5 : 37,2分球出手,进球,
PURDUE,11#Leo,4 - 6 : 3,2分球出手,不进,
EM,34#王伟,4 - 6 : 3,篮板,后场,
EM,25#蒲知劲,4 - 6 : 8,2分球出手,不进,
PURDUE,11#Leo,4 - 6 : 8,篮板,后场,
PURDUE,32#Tony,4 - 6 : 26,2分球出手,不进,
EM,13#孙琦,4 - 6 : 30,助攻,2分,25#蒲知劲
PURDUE,11#Leo,4 - 6 : 49,2分球出手,不进,
EM,34#王伟,4 - 6 : 49,篮板,后场,
EM,39#陈寅,4 - 7 : 21,3分球出手,不进,
EM,34#王伟,4 - 7 : 33,换人,,21#花文俊
EM,25#蒲知劲,4 - 7 : 33,换人,,26#高扬
EM,7#金晓伟,4 - 7 : 33,换人,,18#施君逸
PURDUE,黑衣粉鞋哥,4 - 7 : 34,换人,,陈晨侠
PURDUE,0#Rio,4 - 7 : 45,3分球出手,不进,
EM,21#花文俊,4 - 7 : 45,篮板,后场,
EM,13#孙琦,4 - 7 : 55,助攻,2分,26#高扬
PURDUE,32#Tony,4 - 8 : 17,2分球出手,不进,
EM,26#高扬,4 - 8 : 17,篮板,后场,
EM,13#孙琦,4 - 8 : 21,助攻,3分,39#陈寅
PURDUE,11#Leo,4 - 8 : 47,2分球出手,不进,
EM,21#花文俊,4 - 8 : 48,篮板,后场,
EM,21#花文俊,4 - 8 : 52,助攻,2分,18#施君逸
